Release title,Feature Title,Feature Description,Release Date,Target
Better text editing & copy/paste,Select text across multiple blocks,"We finally did it. Notion’s text editor has been completely retooled to combine the flexibility of “blocks” with the familiar feeling of a traditional word processor. Here’s what that means for you:
On desktop: Click & drag to select, cut, copy & paste partial text across paragraphs, bullet lists, callouts & more — without having to select each block in its entirety.
On mobile: Now you can select or copy/paste multiple items at once! Double tap to select text, and drag your selection to include content across multiple blocks.
Partial text selection across blocks will be supported on all platforms except Firefox. We’re actively working with the Mozilla team to enable this feature in Firefox as soon as possible.","January 8, 2022",1
Better text editing & copy/paste,Navigate between database items in Peek View,"Quickly jump to the next/previous item in your databases, using the new 🔼 and 🔽 buttons at the top left of the pop-up window. You no longer need to dismiss the pop-up and select another database item one at a time.","January 8, 2022",1
Better text editing & copy/paste,Customize which page opens first when you launch Notion,"When you first launch your Notion app, do you prefer it always open to the page at the very top of your sidebar? Or would you rather see your most recently visited page? Now you can set your preference in Settings & members → My notifications & settings → Open on start.","January 8, 2022",1
New database permissions 🔒,Can Edit Content permission level,"Notion databases give you and your teammates a customizable place to track engineering sprints, company OKRs, content calendars and more. And now you have even more control over who can do what in a database.
The new “Can Edit Content” permission level prevents accidental edits to the database’s structure — views, filters, property names, property types & more — while still allowing your colleagues to edit the content inside the database pages. Just open the Share menu of a database to get started.","February 8, 2022",2
New database permissions 🔒,Embed content from Hex & Deepnote,Using Notion to keep your data team organized? Now you can embed collaborative SQL and Python notebooks directly in your notes & docs in Notion. Just type /hex or /deepnote to get started.,"February 8, 2022",2
Notion in French 🇫🇷🎊,Notion is now available in French (beta),"A huge and vibrant community of Notion users speaks French — we can't wait to see this grow even more! We're thrilled to make our product feel native to everyone who has supported us in English for so long, and many new people, too.
After changing your language to French, click Templates at the bottom of your left-hand sidebar to find French templates
Go to notion.so/fr-fr/help to find translated guides & tutorials
To change your language settings on your desktop, go to Settings and Members, then select French under Languages and regions.
Mobile and desktop apps will be released in batches; please wait until your app reflects the latest version. If your phone language is set to French, the Notion app will automatically change to French when available.","February 15, 2022",2
Connect your tools with the API 🧰,The API is out of beta,"Since we launched the API into beta last year, over 30,000 people have joined our developer community, building everything from workflow automations and content publishing systems, to productivity tools and search aggregators, all on the Notion platform.
And for the last several months, we’ve been working hard to expand the API’s capabilities to make it even easier to build with Notion. Now the API is out of beta, and better than ever.
New Integration Gallery: Discover powerful integrations built by Notion and by our partners, learn more about what they do, and add them to your workspace, all in one place. Check it out at notion.com/integrations.
New API functionality and improved documentation: The API now supports even more block types, including synced blocks, multi-column pages, simple tables and more. We’ve also made the API more stable and reliable, and improved our documentation to make it easier for developers to build and test integrations.
New controls for admins (Enterprise Plan): Admins on an Enterprise Plan can now pre-approve specific integrations for use in their workspace, for more transparency and control. Admins can also view which integrations are being used in their workspace, who’s using them, and disconnect integrations for specific users.
Learn more at developers.notion.com →","March 3, 2022",3
Connect your tools with the API 🧰,Better dark mode,"Your Notion workspace is like a cozy living room, a place to hang out and get work done — and dark mode is like turning off the lights. It gives your space a different look and feel, and can be helpful with eye strain and readability too.
Now dark mode is even better! We updated the color palette to include deeper hues, higher contrast, and more saturated colors, keeping accessibility in mind throughout the redesign. To turn on dark mode in your workspace, go to Settings & members → My notifications & settings → Appearance.","March 3, 2022",3
"Notion 2.15, now with better databases",Quick filters,"Filters are easier to use. Limit the items you see in a database view, quickly and easily. Filters that used to require 8+ clicks to create can now be applied in just 2-3 clicks.
Filters and sorts don’t affect others until you save. Make changes to your team’s shared database views without disrupting anyone else. Click the Save for everyone button to apply your changes for everyone on your team or Reset to discard changes.
Advanced filters enable complex workflows. There when you need them, and out of sight when you don’t. Create nested filter groups up to three layers deep for endless possibilities.","March 15, 2022",3
"Notion 2.15, now with better databases",Create views from existing databases,"Create custom views to the same database across multiple pages. You’ll see a new option to select a data source whenever you add a new view, allowing you to embed custom synced copies of existing databases in your workspace.
Copy an existing view, instantly. After you select a data source, you’ll see a new menu containing all the existing views of that database. Hover on each to preview, then pick one to instantly recreate the view’s filters, sorts, grouping, property visibility & more.
Show content from multiple databases within a single view block. For example, one tab could display a view of your “Projects” database, while another pulls in data from a more granular “Tasks” database, unifying workflows that depend on multiple databases together.","March 15, 2022",3
